DAY,HOUR,OPEN,HIGH,LOW,CLOSE
1/1/2015,22:00,1.21005,1.21057,1.20973,1.21009
1/1/2015,23:00,1.21008,1.21008,1.20775,1.20866
1/2/2015,0:00,1.20864,1.20884,1.20664,1.20669
1/2/2015,1:00,1.2067,1.20718,1.20513,1.20667
1/2/2015,2:00,1.20666,1.20682,1.20466,1.20577
1/2/2015,3:00,1.20574,1.20617,1.20544,1.20566
1/2/2015,4:00,1.20564,1.20586,1.20482,1.20523
1/2/2015,5:00,1.20521,1.20551,1.20457,1.20514
1/2/2015,6:00,1.20514,1.20571,1.20483,1.20544
1/2/2015,7:00,1.20542,1.20576,1.2034,1.20554
1/2/2015,8:00,1.20557,1.2069,1.20445,1.20465
1/2/2015,9:00,1.20467,1.20599,1.20384,1.20574
1/2/2015,10:00,1.20574,1.20574,1.20418,1.20505
1/2/2015,11:00,1.20502,1.20576,1.20444,1.20536
1/2/2015,12:00,1.20534,1.20543,1.20348,1.20375
1/2/2015,13:00,1.20378,1.20438,1.20249,1.20305
1/2/2015,14:00,1.20302,1.2033,1.20081,1.20139
1/2/2015,15:00,1.2014,1.20315,1.20113,1.20306
1/2/2015,16:00,1.20303,1.2031,1.20069,1.20131
1/2/2015,17:00,1.20129,1.20153,1.20032,1.20091
1/2/2015,18:00,1.20094,1.20147,1.20074,1.20113
1/2/2015,19:00,1.20109,1.20112,1.20037,1.2005
1/2/2015,20:00,1.20047,1.2008,1.20009,1.20026
1/2/2015,21:00,1.20025,1.20054,1.19996,1.20005
1/4/2015,22:00,1.19516,1.19526,1.18659,1.19438
1/4/2015,23:00,1.19444,1.19485,1.19295,1.19458
1/5/2015,0:00,1.19462,1.19752,1.19462,1.19622
1/5/2015,1:00,1.19621,1.19724,1.19505,1.19541
1/5/2015,2:00,1.19543,1.19647,1.1954,1.19554
1/5/2015,3:00,1.19556,1.19557,1.19435,1.19435
1/5/2015,4:00,1.19437,1.19446,1.1935,1.19404
1/5/2015,5:00,1.19401,1.19442,1.19254,1.19345
1/5/2015,6:00,1.19342,1.1947,1.19303,1.1947
1/5/2015,7:00,1.19469,1.19602,1.19397,1.19555
1/5/2015,8:00,1.19553,1.19756,1.1951,1.1954
1/5/2015,9:00,1.19543,1.196,1.19426,1.19538
1/5/2015,10:00,1.19541,1.19564,1.19137,1.192
1/5/2015,11:00,1.19202,1.19246,1.18995,1.19049
1/5/2015,12:00,1.19051,1.1919,1.18866,1.18991
1/5/2015,13:00,1.18989,1.1928,1.18921,1.19123
1/5/2015,14:00,1.19127,1.19352,1.19082,1.19337
1/5/2015,15:00,1.1934,1.19409,1.19163,1.19361
1/5/2015,16:00,1.19358,1.19389,1.19149,1.19174
1/5/2015,17:00,1.19176,1.19282,1.19118,1.19226
1/5/2015,18:00,1.19223,1.1934,1.19141,1.1934
1/5/2015,19:00,1.19341,1.19396,1.19318,1.19384
1/5/2015,20:00,1.19378,1.19491,1.19359,1.19359
1/5/2015,21:00,1.1936,1.19385,1.19311,1.19311
1/5/2015,22:00,1.19318,1.19351,1.19258,1.19323
1/5/2015,23:00,1.19321,1.19402,1.19306,1.19372
1/6/2015,0:00,1.19369,1.19428,1.19336,1.19428
1/6/2015,1:00,1.19424,1.19457,1.19355,1.19403
1/6/2015,2:00,1.19404,1.19542,1.19404,1.19454
1/6/2015,3:00,1.19455,1.19493,1.194,1.19435
1/6/2015,4:00,1.19439,1.19502,1.19423,1.19485
1/6/2015,5:00,1.19481,1.19579,1.19462,1.19567
1/6/2015,6:00,1.1957,1.19682,1.19525,1.19596
1/6/2015,7:00,1.19596,1.19619,1.1941,1.19419
1/6/2015,8:00,1.19418,1.19518,1.19215,1.19435
1/6/2015,9:00,1.1944,1.19455,1.19044,1.19072
1/6/2015,10:00,1.19075,1.19143,1.18951,1.18977
1/6/2015,11:00,1.18979,1.19189,1.18871,1.18907
